昵称,雀魂昵称,队伍名
启明,启明けいめい,最强五人组
天光鸽,北平天光,人均魂珠两个半
活人鸽,火蜜桃18,别急我已启动
Yiorgos,YIORGOS,三色三步高
龙灬虎*,龙灬虎,别急我已启动
系统鸽,奥托维拉,别急我已启动
镜子,Miracoln,别急我已启动
不是柚子厨,照咲すみれ,鱼形最爱糯米
xxf,西西弗的葬礼,天光粉茶会
PreB,PreB,天光粉茶会
ToolkiT,ToolkiT,老工你说具话啊
法棍鸽,xxcの爸,天光粉茶会
可爱瓜宝,大盘鸡宅急送,老工你说具话啊
衔蝉幽客,衔蝉幽客,三色三步高
toolkit,天丁,老工你说具话啊
西兰花,西兰花offic,别急我已启动
zbybr,孤单开始发酵,天光粉茶会
1uka,小林刚和我很像,最强五人组
小香茶*,小香茶,最强五人组
nginx6766,nginx676,老工你说具话啊
干冰不是冰,ganbing,老工你说具话啊
武帝,圣文神武/神武天君,鱼形最爱糯米
竹茗,竹茗,人均魂珠两个半
牌姬,片卑女臣,人均魂珠两个半
北风柑橘,黄鹤啊,天光粉茶会
holdingon*,雀雀子萝卜,三色三步高
萩原流牌手,萩原流牌手,三色三步高
Cai*,空想少女,人均魂珠两个半
千幽,千幽,三色三步高
木成三,smeansup,最强五人组
墨悠,墨悠人,鱼形最爱糯米
saq,冉同学,鱼形最爱糯米
fc,fcba,鱼形最爱糯米
wzbssjch,wzbssjch,人均魂珠两个半
破败军团,破败军团,陆叄壹
lain,緋奈沢智花,最强五人组
此人只会断幺九,此人只会断幺九,陆叄壹
zq,电脑玩家比尔,陆叄壹
cc,慕容矢火,陆叄壹
cty,ctyyyy,陆叄壹
